Zona de planificacion;Distrito;Distrito MIES;Provincia;id_provincia;Canton;id_canton;Parroquia;id_parroquia;Región;Servicio;Modalidad;Modalidad_1;Tipo gestion_ua;Fuente financiamiento_ua;Tipo administracion_ua;Cooperante;Hombre;"Mujer
(excluye mujeres gestantes)";"Total
(excluye mujeres gestantes)";Total general (incluye mujeres gestantes);1_0 - 3 primera infancia Hombre;1_0 - 3 primera infancia Mujer;2_4 - 5 primera infancia Hombre;2_4 - 5 primera infancia Mujer;3_6 - 11 segunda infancia Hombre;3_6 - 11 segunda infancia Mujer;4_12 - 14 adolescencia Hombre;4_12 - 14 adolescencia Mujer;5_15 - 17 adolescencia Hombre;5_15 - 17 adolescencia Mujer;6_18 - 29 juventud Hombre;6_18 - 29 juventud Mujer;7_30 - 64 adultez Hombre;7_30 - 64 adultez Mujer;8_65 y más adulta mayor Hombre;8_65 y más adulta mayor Mujer;Afroecuatoriano Hombre;Afroecuatoriano Mujer;Indígena Hombre;Indígena Mujer;Mestizo Hombre;Mestizo Mujer;Montuvio Hombre;Montuvio Mujer;Blanco Hombre;Blanco Mujer;Otro Hombre;Otro Mujer;Sin discapacidad Hombre ;Sin discapacidad Mujer;Con discapacidad Hombre;Con discapacidad Mujer;Con discapacidad Total;Discapacidad auditiva Hombre;Discapacidad auditiva Mujer;Discapacidad física Hombre;Discapacidad física Mujer;Discapacidad intelectual Hombre;Discapacidad intelectual Mujer;Discapacidad lenguaje Hombre;Discapacidad lenguaje Mujer;Discapacidad mental Hombre;Discapacidad mental Mujer;Discapacidad psicologico Hombre;Discapacidad psicologico Mujer;Discapacidad psicosocial Hombre;Discapacidad psicosocial Mujer;Discapacidad visual Hombre;Discapacidad visual Mujer;Discapacidad ninguna Hombre;Discapacidad ninguna Mujer;Capacidad máxima;*Area urbana rural;Asistencia promedio;Asistencia NT;DII_01_menor_6_m_Hombre;DII_01_menor_6_m_Mujer;DII_02_6a9_m_Hombre;DII_02_6a9_m_Mujer;DII_03_10a11_m_Hombre;DII_03_10a11_m_Mujer;DII_04_12a18_m_Hombre;DII_04_12a18_m_Mujer;DII_05_19a24_m_Hombre;DII_05_19a24_m_Mujer;DII_06_25a36_m_Hombre;DII_06_25a36_m_Mujer;DII_07_mayor_36_m_Hombre;DII_07_mayor_36_m_Mujer;Modalidad nueva;Modalidad nueva2;Ecuatoriano;Extranjero;Tiene_RS_SI_METRICA2018;Tiene_RS_NO_METRICA2018;EXTREMA_POBREZA_METRICA2018;POBRE_METRICA2018;NO_POBRE_METRICA2018;Tipo gasto;embarazada_SI;G3_6a11_segunda_infancia;G4_12a14_adolescencia;G5_15a17_adolescencia;G6_18a29_juventud;G7_30a64_adultez;G8_65_mas_adulta_mayor;dias_asistencia_embarazada;base_ninos;extremo_vulnerable_dii;vulnerable_dii;no_vulnerable_dii;Ficha_levantada_dii;base_embarazadas;extremo_vulnerable_embz;vulnerable_embz;no_vulnerable_embz;Ficha_levantada_embz;base_pam;vulnerabilidad_alta_pam;vulnerabilidad_media_pam;vulnerabilidad_baja_pam;Ficha_levantada_pam_Diurno_Activo_Domiciar;Ficha_levantada_pam_Residencial;base_pcd;vulnerabilidad_alta_pcd;vulnerabilidad_media_pcd;vulnerabilidad_baja_pcd;Ficha_levantada_Personas_con_Discapacidad;Sin asistencia;Tipo;servicio1;tipo_gestion_ua_o;Afganistán;Alemania;Alemania_República_Democrática;Antigua_y_Barbuda;Apátrida;Argelia;Argentina;Australia;Bahamas;Barbados;Bélgica;Bermudas;Bolivia;Brasil;Caimán_Islas;Canadá;Checa_República_Checoslovaquia;Chile;China_República_Popular_Pekin;Colombia;Corea_del_Sur_República_de;Costa_Rica;Cuba;Curazao_Isla;Dominicana_República;Egipto;El_Salvador;España;Estados_Unidos;Francia;Granada;Groenlandia;Guatemala;Guinea;Guinea_Bissau;Haití;Honduras;India;Irán_República_Islámica_de;Israel;Italia;Jamaica;Liechtestein;Marruecos;Martinica;Mexico;Nicaragua;Otras_naciones_de_Africa;Otras_naciones_de_America;Otras_Naciones_de_Europa;Panamá;Paraguay;Perú;Rwanda;Reino_Unido_Escocia_Gran_Bretaña_Inglaterra;Sudafrica_Ciskei;Surinam;Territorio_Británico_del_Oceáno_Índico;Ucrania;Uganda;Uruguay;Venezuela;Yemen;Sin_Especificar;SNAI_Si;SNAI_No;dias_asistencia_sum;DII_cobert_asist
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;EL ANGEL;040350;Sierra;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;1.- EMBLEMATICO;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;26;19;45;45;26;19;;;;;;;;;;;;;;;;;;1;26;18;;;;;;;26;19;;;;;;;;;;;;;;;;;;;;;;45;Urbano;19;20;;;;;;;3;1;5;3;9;7;9;8;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);1.- EMBLEMATICO;44;1;30;15;6;17;7;corriente;;;;;;;;;28;;26;2;28;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;839;1
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;EL ANGEL;040350;Sierra;DESARROLLO INFANTIL INTEGRAL;CNH - Misión Ternura;4.- CNH - Misión Ternura;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;21;20;41;45;21;20;;;;;;;;1;;2;;1;;;;;;;21;23;;;;;;1;21;24;;;;;;;;;;;;;;;;;;;;;;45;Urbano;3;4;2;3;2;3;2;;6;6;3;3;5;4;1;1;CNH - Misión Ternura;4.- CNH - Misión Ternura;45;;43;2;15;26;2;corriente;4;;;1;2;1;;2,75;3;;3;;3;1;;1;;1;;;;;;;;;;;;;EXTRAMURAL;DESARROLLO INFANTIL INTEGRAL - MISIÓN TERNURA;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;44;147;1
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;EL GOALTAL;040351;Sierra;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - PARROQUIAL;14;13;27;27;14;13;;;;;;;;;;;;;;;3;2;;;9;10;1;;;;1;1;14;13;;;;;;;;;;;;;;;;;;;;;;36;Rural;18;20;;;;;;;3;;;2;7;7;4;4;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;27;;23;4;18;3;2;corriente;;;;;;;;;16;1;15;;16;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;486;1
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;EL GOALTAL;040351;Sierra;PERSONAS ADULTOS MAYORES - PEJ;ESPACIOS DE SOCIALIZACIÓN Y ENCUENTRO;4.- ACTIVOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - PARROQUIAL;40;35;75;75;;;;;;;;;;;;;;;40;35;2;2;;;38;32;;;;;;1;36;31;4;4;8;1;2;;1;;;;;;;;;;;3;1;;;75;Rural;12;3;;;;;;;;;;;;;;;ESPACIOS ACTIVOS CON ALIMENTACION;4.- ACTIVOS CA;71;4;73;2;26;40;7;corriente;;;;;;;;;;;;;;;;;;;32;4;10;18;32;;;;;;;;INTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;931;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;EL GOALTAL;040351;Sierra;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;18;11;29;29;;;;;;;;;;;5;6;13;5;;;1;;;;17;11;;;;;;;;;18;11;29;1;1;10;2;5;8;1;;;;1;;;;;;;;30;Rural;2;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;29;;29;;15;12;2;corriente;;;;;;;;;;;;;;;;;;;;;;;;;7;1;4;2;7;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;66;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;EL GOALTAL;040351;Sierra;PERSONAS ADULTOS MAYORES - PEJ;ESPACIOS DE SOCIALIZACIÓN Y ENCUENTRO;4.- ACTIVOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - PARROQUIAL;45;33;78;78;;;;;;;;;;;;;;;45;33;2;1;;;38;30;1;;;;4;2;42;31;3;2;5;1;;2;;;1;;;;;;;;;;1;;;75;Rural;13;3;;;;;;;;;;;;;;;ESPACIOS ACTIVOS CON ALIMENTACION;4.- ACTIVOS CA;77;1;65;13;15;36;14;corriente;;;;;;;;;;;;;;;;;;;3;2;;1;3;;;;;;;;INTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;975;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;LA LIBERTAD (ALIZO);040352;Sierra;DESARROLLO INFANTIL INTEGRAL;CNH - Misión Ternura;4.- CNH - Misión Ternura;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;21;12;33;35;21;12;;;;;;;;;;2;;;;;;;;;21;14;;;;;;;21;14;;;;;;;;;;;;;;;;;;;;;;35;Rural;3;4;7;3;2;1;1;2;5;;3;2;3;4;;;CNH - Misión Ternura;4.- CNH - Misión Ternura;35;;33;2;14;16;3;corriente;2;;;;2;;;2,50;1;;1;;1;;;;;;;;;;;;;;;;;;EXTRAMURAL;DESARROLLO INFANTIL INTEGRAL - MISIÓN TERNURA;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;95;1
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;LA LIBERTAD (ALIZO);040352;Sierra;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;17;10;27;27;17;10;;;;;;;;;;;;;;;;;1;1;15;9;;;;;1;;17;10;;;;;;;;;;;;;;;;;;;;;;27;Rural;19;20;;;;;;;1;1;2;3;9;4;5;2;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;26;1;23;4;9;11;3;corriente;;;;;;;;;16;;15;1;16;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;514;1
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;LA LIBERTAD (ALIZO);040352;Sierra;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;15;15;30;30;;;;;;;;;;;3;2;12;13;;;;;;;15;15;;;;;;;;;15;15;30;1;;6;9;4;4;1;;;;;1;1;;2;1;;;30;Rural;2;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;30;;30;;11;17;2;corriente;;;;;;;;;;;;;;;;;;;;;;;;;18;1;9;8;18;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;LA LIBERTAD (ALIZO);040352;Sierra;PERSONAS ADULTOS MAYORES - PEJ;ESPACIOS DE SOCIALIZACIÓN Y ENCUENTRO;4.- ACTIVOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;27;48;75;75;;;;;;;;;;;;;;;27;48;;;;1;27;47;;;;;;;23;34;4;14;18;2;6;1;3;1;2;;;;;;;;;;3;;;75;Rural;12;3;;;;;;;;;;;;;;;ESPACIOS ACTIVOS CON ALIMENTACION;4.- ACTIVOS CA;75;;72;3;14;47;11;corriente;;;;;;;;;;;;;;;;;;;33;2;8;23;33;;;;;;;;INTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;832;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;SAN ISIDRO;040353;Sierra;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - PARROQUIAL;14;13;27;27;14;13;;;;;;;;;;;;;;;;;;;14;13;;;;;;;14;13;;;;;;;;;;;;;;;;;;;;;;27;Rural;17;20;;;;;;;2;1;5;2;3;4;4;6;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;27;;23;4;10;13;;corriente;;;;;;;;;14;;14;;14;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;26;463;1
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;SAN ISIDRO;040353;Sierra;PERSONAS ADULTOS MAYORES - PEJ;ESPACIOS DE SOCIALIZACIÓN Y ENCUENTRO;4.- ACTIVOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;28;45;73;73;;;;;;;;;;;;;;;28;45;;;2;1;25;44;;;;;1;;23;42;5;3;8;3;1;1;2;;;;;;;;;;;1;;;;75;Rural;13;3;;;;;;;;;;;;;;;ESPACIOS ACTIVOS CON ALIMENTACION;4.- ACTIVOS CA;72;1;71;2;5;43;23;corriente;;;;;;;;;;;;;;;;;;;15;;;15;15;;;;;;;;INTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;949;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;SAN ISIDRO;040353;Sierra;DESARROLLO INFANTIL INTEGRAL;CNH - Misión Ternura;4.- CNH - Misión Ternura;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;17;14;31;35;17;14;;;;;;;;;;2;;2;;;;;;;17;18;;;;;;;17;18;;;;;;;;;;;;;;;;;;;;;;35;Rural;4;4;4;3;;3;2;1;4;3;2;1;5;3;;;CNH - Misión Ternura;4.- CNH - Misión Ternura;35;;34;1;14;19;1;corriente;4;;;;2;2;;3,25;4;;4;;4;;;;;;;;;;;;;;;;;;EXTRAMURAL;DESARROLLO INFANTIL INTEGRAL - MISIÓN TERNURA;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;127;1
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;SAN ISIDRO;040353;Sierra;PERSONAS ADULTOS MAYORES - PEJ;ESPACIOS DE SOCIALIZACIÓN Y ENCUENTRO;4.- ACTIVOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;31;42;73;73;;;;;;;;;;;;;;;31;42;;;1;1;30;41;;;;;;;30;41;1;1;2;1;;;1;;;;;;;;;;;;;;;75;Rural;12;3;;;;;;;;;;;;;;;ESPACIOS ACTIVOS CON ALIMENTACION;4.- ACTIVOS CA;72;1;70;3;16;36;18;corriente;;;;;;;;;;;;;;;;;;;22;;2;20;22;;;;;;;;INTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;906;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;ESPEJO;0403;SAN ISIDRO;040353;Sierra;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;17;13;30;30;;;;;;;;;;;1;;16;13;;;1;;1;;15;13;;;;;;;;;17;13;30;1;2;5;4;11;4;;;;;;;;1;;2;;;30;Rural;2;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;30;;29;1;7;16;6;corriente;;;;;;;;;;;;;;;;;;;;;;;;;18;6;8;4;18;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;MIRA;0404;MIRA (CHONTAHUASI);040450;Sierra;PERSONAS ADULTOS MAYORES - PEJ;CENTRO GERONTOLÓGICOS DE ATENCIÓN DIURNA;1.- DIURNOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;35;35;70;70;;;;;;;;;;;;;;;35;35;1;;;1;34;34;;;;;;;25;27;10;8;18;5;3;2;3;;2;1;;;;;;;;2;;;;70;Urbano;19;20;;;;;;;;;;;;;;;CENTRO GERONTOLÓGICOS DE ATENCIÓN DIURNA;1.- DIURNOS;69;1;60;10;6;36;18;corriente;;;;;;;;;;;;;;;;;;;7;;1;6;7;;;;;;;;INTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1304;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;MIRA;0404;MIRA (CHONTAHUASI);040450;Sierra;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;12;15;27;27;10;14;2;1;;;;;;;;;;;;;12;11;;1;;3;;;;;;;12;15;;;;;;;;;;;;;;;;;;;;;;27;Urbano;19;20;;;;;;;;1;1;2;4;7;7;5;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;27;;23;4;3;11;9;corriente;;;;;;;;;24;;22;2;24;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;514;1
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;MIRA;0404;MIRA (CHONTAHUASI);040450;Sierra;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;1.- EMBLEMATICO;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;18;19;37;37;18;19;;;;;;;;;;;;;;;;;1;1;16;18;;;;;1;;18;19;;;;;;;;;;;;;;;;;;;;;;37;Urbano;18;20;;;;;;;1;1;3;1;8;8;6;9;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);1.- EMBLEMATICO;37;;26;11;6;16;4;corriente;;;;;;;;;28;;25;3;28;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;36;683;1
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;MIRA;0404;MIRA (CHONTAHUASI);040450;Sierra;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - PARROQUIAL;19;11;30;30;;;;;;;;;;;4;3;15;8;;;7;4;;;12;7;;;;;;;;;19;11;30;3;;4;7;6;3;;;;;1;;3;;2;1;;;30;Urbano;2;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;30;;30;;7;17;6;corriente;;;;;;;;;;;;;;;;;;;;;;;;;21;5;10;6;21;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;MIRA;0404;MIRA (CHONTAHUASI);040450;Sierra;PERSONAS ADULTOS MAYORES - PEJ;ESPACIOS DE SOCIALIZACIÓN Y ENCUENTRO;4.- ACTIVOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;37;38;75;75;;;;;;;;;;;;;;;37;38;1;1;;;36;37;;;;;;;34;34;3;4;7;;1;1;1;1;1;;;;;;;;;1;1;;;75;Urbano;13;3;;;;;;;;;;;;;;;ESPACIOS ACTIVOS CON ALIMENTACION;4.- ACTIVOS CA;75;;51;24;10;37;4;corriente;;;;;;;;;;;;;;;;;;;28;2;6;20;28;;;;;;;;INTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;973;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;MIRA;0404;MIRA (CHONTAHUASI);040450;Sierra;PERSONAS ADULTOS MAYORES - PEJ;ATENCIÓN DOMICILIARIA;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;19;21;40;40;;;;;;;;;;;;;;;19;21;1;;1;2;17;19;;;;;;;17;18;2;3;5;1;2;;;1;1;;;;;;;;;;;;;40;Urbano;3;2;;;;;;;;;;;;;;;ATENCIÓN DOMICILIARIA;3.- DOMICILIAR;40;;38;2;6;24;8;inversion;;;;;;;;;;;;;;;;;;;9;;1;8;9;;;;;;;;EXTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113;
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;MIRA;0404;MIRA (CHONTAHUASI);040450;Sierra;DESARROLLO INFANTIL INTEGRAL;CNH - Misión Ternura;4.- CNH - Misión Ternura;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;10;21;31;35;10;21;;;;;;;;;;2;;2;;;1;8;;;9;15;;;;;;2;10;25;;;;;;;;;;;;;;;;;;;;;;35;Urbano;2;4;1;2;1;2;2;1;2;6;1;5;2;3;1;2;CNH - Misión Ternura;4.- CNH - Misión Ternura;35;;32;3;22;10;;corriente;4;;;;2;2;;2,50;4;;4;;4;;;;;;;;;;;;;;;;;;EXTRAMURAL;DESARROLLO INFANTIL INTEGRAL - MISIÓN TERNURA;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;33;86;1
Zona Planificación 1;04D03;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;MIRA;0404;MIRA (CHONTAHUASI);040450;Sierra;DESARROLLO INFANTIL INTEGRAL;CNH - Misión Ternura;4.- CNH - Misión Ternura;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;19;14;33;35;19;14;;;;;;;;1;;1;;;;;;;;;19;16;;;;;;;19;16;;;;;;;;;;;;;;;;;;;;;;35;Urbano;3;4;2;1;2;;;;7;1;4;3;2;8;2;1;CNH - Misión Ternura;4.- CNH - Misión Ternura;35;;31;4;15;15;1;corriente;2;;;1;1;;;2,00;7;;7;;7;;;;;;;;;;;;;;;;;;EXTRAMURAL;DESARROLLO INFANTIL INTEGRAL - MISIÓN TERNURA;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;106;1
